Character,Partner
Joey,16-year old who had something with Joey when he was 9 (10-03)
Rachel,Adam Ritter (01-14) (Rachel was keeping his boxer shorts as a souvenir)
Monica,"Alan (01-03) (When Rachel mentions his possible penis size, Monica's reaction suggests she knows)"
Joey,Andrea (01-01) (Chandler says 'Andrea is the screamer'; we assume she doesn't just randomly screams)
Joey,Angela (01-05)
Joey,"Angela Delvecio (01-12) (Could be the same Angela from 01-05; however, she didn't look Italian, so we're counting Delvecio as a separate sex partner)"
Joey,Annie Esposito (03-05)
Joey,Annie Esposito's sister (03-05)
Chandler,Aurora (ep. 01-06)
Rachel,Barry Finkle (Farber)
Joey,Beth (03-20)
Rachel,"Billy Dreskin (01-17, confirmed in 02-18)"
Joey,Blond with an accent from sunglass hut (08-02)
Phoebe,Bob Gremore (10-06)
Ross,Bonnie (03-25)
Phoebe,Brady Smith (10-06) (idem. Counts as .5)
Phoebe,"Carl (01-01) (The chalk-eater. Since she cared so much about him, we assume there must've been sex)"
Ross,Carol
Joey,"Casey (04-07) (Chandler says to Joey 'having sex with an endless line of beautiful women…' and Joey didn't say otherwise, so we assume there was sex)"
Joey,Cecilia Monroe (07-15) (Currently in Guadalajara. Or was it La Guardia?)
Monica,Chandler
Rachel,Charlie (07-01)
Ross,Charlie Wheeler
Joey,Charlie Wheeler
Rachel,Chip Matthews (05-08) (In this episode we find out that he and Rachel 'already kind of did it' and that next time 'it'll last for an entire song' = sex)
Ross,Chloe (03-15)
Phoebe,David (the scientist guy)
Phoebe,Don (08-16) ('A girl's gotta eat')
Joey,Donna (03-11) (Threesome with Katherine)
Ross,Elizabeth
Ross,Emily
Joey,"Erica (02-12) (We assume the hand licking led to something else; plus, Joey told her she was the only one. There definitely was sex)"
Joey,Erin (07-07)
Monica,Ethan (01-22) (Sex with a minor!)
Joey,Extra in Days of Our Lives 1 (09-11)
Joey,Extra in Days of Our Lives 2 (09-11) (They need some new extras around there)
Joey,Extra in Days of Our Lives 3 (09-19)
Joey,Felicity (04-24)
Monica,Fun Bobby
Phoebe,Gary (05-17)
Joey,Ginger (03-14)
Joey,Girl in coffee house (09-04)
Joey,Girl who dated Joey (AKA 'Big Daddy') and made him cancel his dinner with Phoebe
Joey,Girl who did it with Joey on the back of the Staten Island ferry (03-01)
Ross,Girl who dumped Ross during sex (08-15)
Chandler,Girl who though Sean Penn was the capital of Cambodia (02-18)
Joey,Girl whom Joey doesn't want to wake up (09-14)
Joey,Girl with whom Joey had sex a couple of days ago (05-13)
Joey,Girl with whom Joey had sex in a the high-school football field (10-11)
Joey,Girl with whom Joey had sex in the high-school cafeteria (10-11)
Joey,Girl with whom Joey had sex in the paleontology section of the school's library (07-07)
Joey,Girl with whom Joey had sex today (07-01) ('Some… not a lot')
Ross,Girl with whom Ross was caught having sex in the paleontology section of the school's library (07-07)
Phoebe,Guy in Van (10-06) ('My first love' is the reference. Sex)
Phoebe,Guy she married in Vegas (06-01)
Phoebe,Guy who dumped her because she fell asleep during Spinal Tap (02-03)
Rachel,Guy whose cat didn't like Rachel (02-03)
Phoebe,Guy with whom she had a date three days ago (07-15)
Phoebe,Guy with whom she was having sex when she broke her leg (08-23)
Joey,Hayley's roommate (09-04)
Monica,"Howard, the 'I win' guy"
Joey,Irene (08-04)
Chandler,"Jade (02-05) (Chandler wasn't as good as Bob, and much more bumpy)"
Phoebe,"Jake (07-18) (By the location of the hickey, it's fair to assume there was sex)"
Joey,Jane (08-15)
Chandler,Janice
Ross,Janice
